cluster,pop_2000,pop_2010
1,18096,18220
2,45699,46275
3,9775,11647
4,15385,16109
5,12118,16801
6,19460,19796
7,16233,18714
8,11616,17153
9,11852,11592
10,15044,14342
11,10122,11906
12,10006,10551
13,15462,15374
14,18047,19565
15,14620,15156
16,3987,3847
17,19370,20361
18,36367,36731
19,11949,12790
20,11610,11392
21,19991,21822
22,13099,12699
23,14497,14786
24,6372,6668
25,23055,24671
26,25580,28389
27,1825,2794
28,5040,4990
29,2133,2289
30,6322,6452
31,12725,12806
32,12328,12436
33,17147,17801
34,16828,16320
35,6287,5961
36,6366,7572
37,8450,7957
38,11514,11919
39,27038,27989
